Date,Consumo não-cíclico,Bens Industriais,Comércio,Financeiro,Seguros,Exploração de imóveis,Mineração,Químicos,Alimentos processados,Energia Elétrica,"Petróleo, Gás e Biocombustíveis",Viagens e lazer,Construção civil,Educacionais,Saúde,Siderurgia e Metalurgia,Madeira e papel,Locação de veículos,Saneamento,Diversos,Telecomunicações
2020-02-18,51.07999928792318,30.83571461268834,45.86799983978271,32.247499883174896,34.81500053405762,35.58333269755045,45.71999931335449,31.350000381469727,23.33666706085205,31.917142731802805,39.12000045776367,32.5099983215332,26.340001106262207,32.804999351501465,57.13000011444092,13.312500238418579,30.54499912261963,55.29999923706055,65.12999725341797,37.439998626708984,37.44499969482422
2020-02-19,51.36999829610189,31.7985714503697,46.13799896240234,32.75624978542328,35.32499885559082,35.893333435058594,45.89500045776367,31.899999618530273,23.90333302815755,32.31857109069824,39.599999618530276,32.599998474121094,26.994998931884766,33.27999973297119,57.66999959945679,13.455000162124634,30.694998741149902,55.04999923706055,66.47000122070312,37.61000061035156,37.66499900817871
2020-02-20,49.1266663869222,31.20428603036063,45.169999504089354,32.39500057697296,33.91499900817871,35.619998931884766,45.25,31.579999923706055,23.413333892822266,31.514285496303014,38.638000869750975,32.06999969482422,27.104999542236328,33.02500009536743,56.642499923706055,12.90000033378601,30.63499927520752,54.720001220703125,65.0999984741211,37.290000915527344,37.05500030517578
2020-02-21,48.31999969482422,31.174285888671875,46.150000381469724,31.93375015258789,32.760000228881836,35.8733336130778,43.92500114440918,30.600000381469727,23.44333330790202,31.60714272090367,38.02599945068359,30.8799991607666,27.179999351501465,33.52500009536743,57.32749938964844,12.620000123977661,31.719999313354492,54.400001525878906,65.66999816894531,37.25,36.95499897003174
2020-02-26,,,,,,,,,,,,,,,,,,,,,
2020-02-27,44.02333323160807,26.488571848188126,40.82399978637695,29.582499861717224,32.80000019073486,32.460000356038414,38.68000030517578,27.399999618530273,20.723333676656086,29.08714280809675,33.933999633789064,26.209999084472656,23.835000038146973,30.619999408721924,52.69750118255615,11.117499828338623,29.015000343322754,49.349998474121094,59.5099983215332,33.25,34.83000087738037
2020-02-28,44.05333296457926,26.19714287349156,41.27600040435791,30.301250159740448,32.55000019073486,32.230000813802086,38.85000038146973,26.889999389648438,20.603333791097004,29.475713866097585,34.16799964904785,25.729999542236328,24.65999984741211,30.989999771118164,54.55250024795532,11.057500123977661,28.734999656677246,49.540000915527344,58.75,32.779998779296875,34.75500011444092
2020-03-02,29.765000820159912,27.152857099260604,41.97799949645996,30.737500309944153,30.975000381469727,33.35333379109701,40.47500038146973,27.5,21.50666681925456,30.171428544180735,35.28200073242188,23.0,24.97499942779541,30.184999465942383,57.63250017166138,11.587500095367432,30.040000915527344,49.849998474121094,60.13999938964844,33.150001525878906,35.86500072479248
2020-03-03,29.619999885559082,26.772857121058873,42.830000495910646,30.226249933242798,29.3149995803833,32.79666709899902,40.224998474121094,28.079999923706055,20.37666670481364,30.014285496303014,35.15200004577637,22.510000228881836,24.619999885559082,30.785000801086426,58.31249952316284,11.522499799728394,30.344999313354492,49.65999984741211,60.0,32.5099983215332,36.13000011444092
2020-03-04,29.739999294281006,27.042857033865793,43.652000427246094,30.37000012397766,25.045000076293945,33.936667124430336,41.80999946594238,28.979999542236328,21.03000005086263,31.147142682756698,35.723999404907225,22.18000030517578,25.610000610351562,30.225000381469727,58.422500133514404,12.042499780654907,32.81500053405762,50.79999923706055,62.81999969482422,33.0,37.45000076293945
2020-03-05,28.239999771118164,24.785714285714285,40.36799983978271,29.138750195503235,23.205000400543213,31.85333315531413,40.14999961853027,26.739999771118164,19.876667022705078,30.1128568649292,33.45999984741211,20.0,23.34500026702881,28.28999900817871,57.014999866485596,11.482499837875366,32.16999912261963,48.25,60.15999984741211,30.399999618530273,36.859999656677246
2020-03-06,27.559999465942383,23.962856973920548,37.55599994659424,28.42999976873398,23.425000190734863,30.799999872843426,38.53499984741211,25.06999969482422,18.46000035603841,29.004285676138743,31.61599998474121,22.8799991607666,22.524999618530273,26.799999237060547,56.264999866485596,10.682499766349792,30.65499973297119,45.04999923706055,57.369998931884766,31.43000030517578,36.374999046325684
2020-03-09,25.335000038146973,20.894285474504745,33.420000076293945,25.67125028371811,21.074999809265137,27.579999923706055,32.665000915527344,21.8799991607666,15.523333231608072,26.39571421486991,26.71599998474121,19.5,19.235000610351562,23.810000896453857,51.75,8.600000023841858,28.770000457763672,39.79999923706055,52.0,28.729999542236328,33.84999990463257
2020-03-10,26.75999927520752,22.68999985286168,37.46599979400635,27.017500281333923,21.34999990463257,28.936667442321777,38.135000228881836,25.1200008392334,17.173333485921223,27.99000017983573,29.08999900817871,21.760000228881836,20.875,26.57999897003174,53.037500858306885,9.40499997138977,29.28499984741211,41.95000076293945,54.720001220703125,30.0,34.785000801086426
2020-03-11,24.829999923706055,20.542857306344168,34.92200050354004,24.87749946117401,20.240000247955322,26.439999262491863,34.84000110626221,21.75,15.553333282470703,26.614285741533553,26.216000366210938,19.239999771118164,20.03999948501587,24.94999933242798,51.21250009536743,8.294999957084656,26.829999923706055,38.959999084472656,50.5,28.0,35.00999975204468
