Empresa;Código;Código Yahoo;Setor
TIME FOR FUN;SHOW3;SHOW3.SA;Produção de Eventos e Shows
CVC BRASIL;CVCB3;CVCB3.SA;Viagens e Turismo
ANIMA;ANIM3;ANIM3.SA;Serviços Educacionais
BAHEMA;BAHI3;BAHI3.SA;Serviços Educacionais
COGNA ON;COGN3;COGN3.SA;Serviços Educacionais
SER EDUCA;SEER3;SEER3.SA;Serviços Educacionais
YDUQS PART;YDUQ3;YDUQ3.SA;Serviços Educacionais
LOCALIZA;RENT3;RENT3.SA;Aluguel de carros
LOCAMERICA;LCAM3;LCAM3.SA;Aluguel de carros
MOVIDA;MOVI3;MOVI3.SA;Aluguel de carros
SMILES;SMLS3;SMLS3.SA;Programas de Fidelização
AREZZO CO;ARZZ3;ARZZ3.SA;Tecidos, Vestuário e Calçados
GRAZZIOTIN;CGRA3;CGRA3.SA;Tecidos, Vestuário e Calçados
GUARARAPES;GUAR3;GUAR3.SA;Tecidos, Vestuário e Calçados
LE LIS BLANC;LLIS3;LLIS3.SA;Tecidos, Vestuário e Calçados
LOJAS MARISA;AMAR3;AMAR3.SA;Tecidos, Vestuário e Calçados
LOJAS RENNER;LREN3;LREN3.SA;Tecidos, Vestuário e Calçados
MAGAZ LUIZA;MGLU3;MGLU3.SA;Eletrodomésticos
VIAVAREJO;VVAR3;VVAR3.SA;Eletrodomésticos
B2W DIGITAL;BTOW3;BTOW3.SA;Produtos Diversos
CENTAURO;CNTO3;CNTO3.SA;Produtos Diversos
LOJAS AMERIC;LAME3;LAME3.SA;Produtos Diversos
SARAIVA;SLED4;SLED4.SA;Produtos Diversos
BIOMM;BIOM3;BIOM3.SA;Medicamentos e Outros Produtos
OUROFINO S/A;OFSA3;OFSA3.SA;Medicamentos e Outros Produtos
ADVANCED-DH;ADHM3;ADHM3.SA;Serviços Médico - Hospitalares, Análises e Diagnósticos
ALLIAR;AALR3;AALR3.SA;Serviços Médico - Hospitalares, Análises e Diagnósticos
DASA;DASA3;DASA3.SA;Serviços Médico - Hospitalares, Análises e Diagnósticos
FLEURY;FLRY3;FLRY3.SA;Serviços Médico - Hospitalares, Análises e Diagnósticos
HAPVIDA;HAPV3;HAPV3.SA;Serviços Médico - Hospitalares, Análises e Diagnósticos
IHPARDINI;PARD3;PARD3.SA;Serviços Médico - Hospitalares, Análises e Diagnósticos
INTERMEDICA;GNDI3;GNDI3.SA;Serviços Médico - Hospitalares, Análises e Diagnósticos
ODONTOPREV;ODPV3;ODPV3.SA;Serviços Médico - Hospitalares, Análises e Diagnósticos
QUALICORP;QUAL3;QUAL3.SA;Serviços Médico - Hospitalares, Análises e Diagnósticos
BAUMER;BALM3;BALM3.SA;Equipamentos
DIMED;PNVL3;PNVL3.SA;Medicamentos e Outros Produtos
HYPERA;HYPE3;HYPE3.SA;Medicamentos e Outros Produtos
PROFARMA;PFRM3;PFRM3.SA;Medicamentos e Outros Produtos
RAIADROGASIL;RADL3;RADL3.SA;Medicamentos e Outros Produtos
POSITIVO TEC;POSI3;POSI3.SA;Computadores e Equipamentos
BRQ BRQB;MA;MA;Programas e Serviços
LINX;LINX3;LINX3.SA;Programas e Serviços
LOCAWEB;LWSA3;LWSA3.SA;Programas e Serviços
SINQIA;SQIA3;SQIA3.SA;Programas e Serviços
TOTVS;TOTS3;TOTS3.SA;Programas e Serviços
ALGAR TELEC;ALGT;ALGT;Telecomunicações
OI;OIBR3;OIBR3.SA;Telecomunicações
TELEBRAS;TELB3;TELB3.SA;Telecomunicações
TELEF BRASIL;VIVT3;VIVT3.SA;Telecomunicações
TIM PART S/A;TIMP3;TIMP3.SA;Telecomunicações
AES TIETE E;TIET3;TIET3.SA;Energia Elétrica
AFLUENTE T;AFLT3;AFLT3.SA;Energia Elétrica
ALUPAR;ALUP3;ALUP3.SA;Energia Elétrica
